# Tycho-2 (Hog et al. 2000, VizieR I/259/tyc2) subset for the synthetic sky renderer.
# Fetched 2026-09-09 from vizier.cds.unistra.fr. Positions are ICRS/J2000 degrees, VTmag is Tycho V.
# Two kinds of coverage:
#  1. Three 4.2 deg-radius fields spanning galactic star density -- rich (300.0,+35.0),
#     medium (83.6,+22.0), sparse north galactic pole (192.86,+27.13) -- plus a band
#     RA 100..180, Dec 35..45, for tests that fix the pointing explicitly.
#  2. A complete Dec 62..78 band at all right ascensions, VTmag < 11 (~19 stars/deg^2).
#     This is what lets the simulated mount be pointed by the session's own target
#     selection at any time of day: for a mid-northern site it picks a declination
#     around 70 deg, whose right ascension then depends on the clock.
# Committed so that every render is reproducible offline.
ra_deg,dec_deg,vtmag
0.0064233,70.8872827,10.980
0.0216377,65.9156674,10.434
0.0276495,75.4832846,10.267
0.0299000,66.1693970,10.608
0.0317658,66.9334307,8.936
0.0559547,72.4074565,10.818
0.0593493,64.0861155,10.377
0.0665700,72.4009015,9.193
0.0705953,67.3524775,10.421
0.0782410,65.9447051,8.571
0.0842240,63.0491327,10.970
0.0852634,65.2203862,10.204
0.0969618,70.0526135,10.080
0.1036633,67.8519090,8.128
0.1048408,62.7255937,9.948
0.1219520,67.2167850,10.825
0.1280413,64.6097375,10.537
0.1331589,68.2498549,9.657
0.1371523,70.8326240,8.742
0.1512321,65.8137168,10.265
0.1677637,74.6989059,10.474
0.1735144,62.1758989,7.103
0.1861350,71.5330503,10.326
0.1902425,72.5849123,10.481
0.1994507,62.5091265,10.906
0.2131359,66.6391225,10.126
0.2147052,77.5645918,9.104
0.2203107,66.8480095,7.054
0.2388786,64.9392738,10.970
0.2396651,68.4574874,7.987
0.2397224,69.5243119,8.866
0.2459615,62.0814305,9.839
0.2468198,77.1190186,10.689
0.2590045,64.4529014,10.887
0.2604670,69.6035034,8.031
0.2688283,69.5755640,7.565
0.2738305,77.2098801,9.774
0.2815834,63.6029609,9.949
0.2819112,72.8902012,10.892
0.2819137,76.5370111,10.975
0.2849247,65.1278461,10.723
0.2888017,68.4730693,10.830
0.2927054,62.5193473,10.729
0.2932629,68.4987065,8.518
